Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,ust_id2
62,Resistor,R,R12,4k7,R_0805_2012Metric,1,~,5c70984612875079b91f8995,
63,Resistor,R,R14,4k7,R_0805_2012Metric,1,~,5c70984612875079b91f8995,
64,Resistor,R,R15,4k7,R_0805_2012Metric,1,~,5c70984612875079b91f8995,
65,Resistor,R,R16,4k7,R_0805_2012Metric,1,~,5c70984612875079b91f8995,
66,Resistor,R,R17,4k7,R_0805_2012Metric,1,~,5c70984612875079b91f8995,
67,Resistor,R,R29,10k,R_0805_2012Metric,1,~,5c70984612875079b91f899f,
68,Resistor,R,R30,10k,R_0805_2012Metric,1,~,5c70984612875079b91f899f,
69,Resistor,R,R4,10k,R_0805_2012Metric,1,~,5c70984612875079b91f899f,
70,Resistor,R,R5,10k,R_0805_2012Metric,1,~,5c70984612875079b91f899f,
71,Resistor,R,R13,10M,R_0805_2012Metric,1,~,5c70984712875079b91f8aae,
72,"Single Rail-to-Rail High Output Current Operational Amplifiers, SOT-23-5",AD8691,U2,AD8691,TSOT-23-5,1,https://www.analog.com/media/en/technical-documentation/data-sheets/AD8691_8692_8694.pdf,5d47c084128750448e6b4671,
73,"Single Rail-to-Rail High Output Current Operational Amplifiers, SOT-23-5",AD8691,U4,AD8691,TSOT-23-5,1,https://www.analog.com/media/en/technical-documentation/data-sheets/AD8691_8692_8694.pdf,5d47c084128750448e6b4671,
74,"I2C Serial EEPROM, 64Kb (8192x8) with Unique Serial Number, SO8",AT24CS64-SSHM,U11,AT24CS64-SSHM,SOIC-8_3.9x4.9mm_P1.27mm,1,http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8870-SEEPROM-AT24CS64-Datasheet.pdf,5c70984712875079b91f8b99,
75,"2.0V 25μA Micropower Voltage Reference, SOT-23",ISL21070CIH320Z-TK,U1,ISL21080CIH341Z-TK,SOT-23,1,https://cz.mouser.com/datasheet/2/698/REN_isl21080_DST_20040119-1998038.pdf,6555591d0c8d609e3e79abc1,
76,"2.0V 25μA Micropower Voltage Reference, SOT-23",ISL21070CIH320Z-TK,U10,ISL21080DIH309,SOT-23,1,https://www.renesas.com/us/en/document/dst/isl21080-datasheet,5c70984712875079b91f8b0b,
77,"Dual channel 16-bit SAR Analog to Digital Converter, 5V supply, 150ksps, SPI interface",LTC1865-MS,U3,LTC1865-MS,MSOP-10_3x3mm_P0.5mm,1,https://www.analog.com/media/en/technical-documentation/data-sheets/18645fb.pdf,67f14385ee7fc534862c535e,
78,"300mA Low-dropout Voltage Regulator, Vout 3.3V, Vin up to 5.5V, SOT-23",MIC5504-3.3YM5,U15,MIC5504-3.3YM5-TR,SOT-23-5,1,http://ww1.microchip.com/downloads/en/DeviceDoc/MIC550X.pdf,5c7255e81287500b4e112ea2,
79,,OPA314,U8,OPA314,SOT-23-5,1,https://www.ti.com/lit/ds/symlink/opa314.pdf,5c70984412875079b91f879a,
80,"I²C humidity and temperature sensor, ±2%RH, ±0.2°C, DFN-8",SHT31-DIS,U7,SHT31-DIS,Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm,1,https://sensirion.com/media/documents/213E6A3B/63A5A569/Datasheet_SHT3x_DIS.pdf,5c70984612875079b91f89e4,
81,"74AUC1G74, Single D Flip-Flop, Low-Voltage CMOS",74LVC2G74,U5,SN74LVC2G74,VSSOP-8_2.3x2mm_P0.5mm,1,https://www.ti.com/lit/ds/symlink/sn74lvc2g74-ep.pdf,65555d4795a79cc5ac409b41,
82,"Dual supply translating transceiver, 3-state, 2-bit, VSSOP-8",74LVC2T45DC,U12,SN74LVC2T45DCU,VSSOP-8_2.3x2mm_P0.5mm,1,https://assets.nexperia.com/documents/data-sheet/74LVC_LVCH2T45.pdf,65555a850c8d609e3e79abde,
83,"Dual supply translating transceiver, 3-state, 2-bit, VSSOP-8",74LVC2T45DC,U13,SN74LVC2T45DCU,VSSOP-8_2.3x2mm_P0.5mm,1,https://assets.nexperia.com/documents/data-sheet/74LVC_LVCH2T45.pdf,65555a850c8d609e3e79abde,
84,"Dual supply translating transceiver, 3-state, 2-bit, VSSOP-8",74LVC2T45DC,U14,SN74LVC2T45DCU,VSSOP-8_2.3x2mm_P0.5mm,1,https://assets.nexperia.com/documents/data-sheet/74LVC_LVCH2T45.pdf,65555a850c8d609e3e79abde,
85,"Single Rail-to-Rail High Output Current Operational Amplifiers, SOT-23-5",AD8691,U6,TS3021ILT,SOT-23-5,1,https://www.st.com/resource/en/datasheet/ts3021.pdf,5d47bfd4128750448e6b465e,
